"","country","year","pop"
"1","Albania",2005,3.1418
"7","Angola",2005,16.489021
"13","Antigua and Barbuda",2005,0.083916
"19","Argentina",2005,38.681174
"25","Armenia",2005,3.065954
"31","Australia",2005,20.40352
"37","Austria",2005,8.232196
"43","Azerbaijan",2005,8.587902
"49","Bahamas",2005,0.319358
"55","Bahrain",2005,0.724807
"61","Bangladesh",2005,140.587922
"67","Barbados",2005,0.270503
"73","Belarus",2005,9.825102
"79","Belgium",2005,10.414209
"85","Belize",2005,0.280947
"91","Benin",2005,7.633757
"97","Bermuda",2005,0.06413
"103","Bhutan",2005,0.659293
"109","Bolivia",2005,9.146655
"115","Bosnia and Herzegovina",2005,3.781001
"121","Botswana",2005,1.875673
"127","Brazil",2005,185.986964
"133","Brunei Darussalam",2005,0.363123
"139","Bulgaria",2005,7.739115
"145","Burkina Faso",2005,14.198463
"151","Burundi",2005,7.251424
"157","Cambodia",2005,13.357574
"163","Cameroon",2005,17.553589
"169","Canada",2005,32.283413
"175","Cape Verde",2005,0.472883
"181","Central African Republic",2005,4.01788
"187","Chad",2005,9.785902
"193","Chile",2005,16.301726
"199","China, People's Republic of",2005,1284.823106
"205","China: Hong Kong SAR",2005,6.809859
"211","China: Macao SAR",2005,0.48139
"217","Colombia",2005,43.040558
"223","Comoros",2005,0.642974
"229","Congo",2005,3.533177
"235","Costa Rica",2005,4.309413
"241","Côte d'Ivoire",2005,18.020946
"247","Croatia",2005,4.441986
"253","Cyprus",2005,0.758
"259","Czech Republic",2005,10.220638
"265","Democratic Republic of the Congo",2005,57.420522
"271","Denmark",2005,5.419444
"277","Djibouti",2005,0.808367
"283","Dominica",2005,0.068925
"289","Dominican Republic",2005,9.264267
"295","Ecuador",2005,13.426402
"301","Egypt",2005,74.203215
"307","El Salvador",2005,6.050513
"313","Equatorial Guinea",2005,0.607739
"319","Estonia",2005,1.345857
"325","Ethiopia",2005,74.263861
"331","Fiji",2005,0.822553
"337","Finland",2005,5.244342
"343","France",2005,62.836438
"349","Gabon",2005,1.370729
"355","Gambia",2005,1.503678
"361","Georgia",2005,4.477006
"367","Germany",2005,82.540739
"373","Ghana",2005,21.639806
"379","Greece",2005,11.183114
"385","Grenada",2005,0.102734
"391","Guatemala",2005,12.717154
"397","Guinea",2005,9.041448
"403","Guinea-Bissau",2005,1.367695
"409","Honduras",2005,6.879243
"415","Hungary",2005,10.086936
"421","Iceland",2005,0.296743
"427","India",2005,1140.042863
"433","Indonesia",2005,227.303175
"439","Iran (Islamic Republic of)",2005,69.732007
"445","Iraq",2005,27.359461
"451","Ireland",2005,4.158042
"457","Israel",2005,6.604572
"463","Italy",2005,58.671206
"469","Jamaica",2005,2.681653
"475","Japan",2005,126.392944
"481","Jordan",2005,5.342002
"487","Kazakhstan",2005,15.171805
"493","Kenya",2005,35.614576
"499","Kuwait",2005,2.264014
"505","Kyrgyzstan",2005,5.042381
"511","Lao People's Democratic Republic",2005,5.753341
"517","Latvia",2005,2.305528
"523","Lebanon",2005,4.05242
"529","Lesotho",2005,2.065752
"535","Liberia",2005,3.182539
"541","Lithuania",2005,3.415748
"547","Luxembourg",2005,0.457197
"553","Madagascar",2005,17.885967
"559","Malawi",2005,12.822587
"565","Malaysia",2005,26.100241
"571","Maldives",2005,0.29524
"577","Mali",2005,13.176642
"583","Malta",2005,0.409295
"589","Mauritania",2005,3.047249
"595","Mauritius",2005,1.256742
"601","Mexico",2005,106.483757
"607","Mongolia",2005,2.547339
"613","Montenegro",2005,0.626739
"619","Morocco",2005,30.392473
"625","Mozambique",2005,20.770013
"631","Namibia",2005,2.079951
"637","Nepal",2005,27.281945
"643","Netherlands",2005,16.305457
"649","New Zealand",2005,4.134117
"655","Niger",2005,12.993884
"661","Nigeria",2005,139.82334
"667","Norway",2005,4.623298
"673","Oman",2005,2.42951
"679","Pakistan",2005,158.645463
"685","Panama",2005,3.238321
"691","Paraguay",2005,5.897816
"697","Peru",2005,27.558769
"703","Philippines",2005,85.546427
"709","Poland",2005,38.16504
"715","Portugal",2005,10.543663
"721","Qatar",2005,0.820986
"727","Republic of Korea",2005,47.044126
"733","Republic of Moldova",2005,3.766876
"739","Romania",2005,21.771749
"745","Russian Federation",2005,143.843159
"751","Rwanda",2005,9.201727
"757","Saint Kitts and Nevis",2005,0.049173
"763","Saint Lucia",2005,0.165275
"769","Sao Tome and Principe",2005,0.152622
"775","Saudi Arabia",2005,24.041116
"781","Senegal",2005,10.871908
"787","Serbia",2005,7.440769
"793","Sierra Leone",2005,5.153435
"799","Singapore",2005,4.265999
"805","Slovakia",2005,5.415496
"811","Slovenia",2005,2.002084
"817","South Africa",2005,47.792787
"823","Spain",2005,43.395441
"829","Sri Lanka",2005,19.842536
"835","St. Vincent and the Grenadines",2005,0.108755
"841","Sudan",2005,30.306727
"847","Suriname",2005,0.499294
"853","Swaziland",2005,1.104909
"859","Sweden",2005,9.029345
"865","Switzerland",2005,7.415007
"871","Syrian Arab Republic",2005,18.484122
"877","Taiwan",2005,22.729753
"883","Tajikistan",2005,6.45324
"889","Thailand",2005,66.698483
"895","The Former Yugoslav Republic of Macedonia",2005,2.038109
"901","Togo",2005,5.408044
"907","Trinidad and Tobago",2005,1.315386
"913","Tunisia",2005,9.912114
"919","Turkey",2005,68.143186
"925","Turkmenistan",2005,4.747839
"931","Uganda",2005,28.431204
"937","Ukraine",2005,46.923927
"943","United Kingdom",2005,60.202727
"949","United Republic of Tanzania: Mainland",2005,37.758024
"955","United States",2005,296.820296
"961","Uruguay",2005,3.322529
"967","Uzbekistan",2005,25.947414
"973","Venezuela",2005,26.664122
"979","Viet Nam",2005,83.161145
"985","Yemen",2005,20.648643
"991","Zambia",2005,11.462365
"997","Zimbabwe",2005,12.570686
