Pop,polity2
3.1418,NA
NA,9
NA,2
16.489021,-2
NA,NA
0.083916,NA
38.681174,8
3.065954,5
NA,NA
8.587902,-7
0.319358,NA
0.724807,-5
140.587922,5
0.270503,NA
9.825102,-7
0.280947,NA
7.633757,7
0.06413,NA
0.659293,3
9.146655,7
3.781001,NA
1.875673,8
185.986964,8
NA,NA
0.363123,NA
14.198463,0
7.251424,6
0.472883,10
13.357574,2
17.553589,-4
NA,NA
4.01788,-1
9.785902,-2
16.301726,10
1284.823106,-7
22.729753,10
43.040558,7
0.642974,9
3.533177,-4
NA,NA
4.309413,10
18.020946,0
4.441986,9
NA,-7
0.758,10
10.220638,-10
57.420522,5
0.808367,2
0.068925,NA
9.264267,8
NA,NA
13.426402,5
74.203215,-3
6.050513,8
0.607739,-6
NA,-7
74.263861,-3
0.822553,-4
NA,NA
NA,NA
1.370729,3
1.503678,-5
4.477006,6
21.639806,8
NA,NA
0.102734,NA
12.717154,8
9.041448,1
1.367695,6
NA,6
NA,0
6.879243,7
6.809859,NA
1140.042863,9
227.303175,8
NA,NA
69.732007,-7
27.359461,3
6.604572,6
2.681653,9
5.342002,-3
15.171805,-6
35.614576,8
NA,NA
NA,8
NA,8
2.264014,-7
5.042381,4
5.753341,-7
4.05242,6
2.065752,8
3.182539,6
NA,-7
0.48139,NA
17.885967,0
12.822587,6
26.100241,6
0.29524,NA
13.176642,7
0.409295,NA
NA,NA
3.047249,-2
1.256742,10
NA,NA
NA,NA
106.483757,8
NA,NA
NA,9
2.547339,10
0.626739,9
NA,NA
30.392473,-6
20.770013,5
NA,-6
2.079951,6
NA,NA
27.281945,6
NA,NA
NA,NA
NA,9
12.993884,3
139.82334,4
NA,NA
NA,NA
2.42951,-8
158.645463,6
NA,NA
3.238321,9
NA,4
5.897816,8
27.558769,9
85.546427,8
0.820986,-10
9.201727,-4
NA,NA
0.049173,NA
0.165275,NA
NA,NA
NA,NA
0.152622,NA
24.041116,-10
10.871908,7
7.440769,8
NA,NA
5.153435,7
4.265999,-2
2.002084,10
NA,8
NA,0
47.792787,9
NA,NA
19.842536,3
NA,NA
30.306727,-2
0.499294,5
1.104909,-9
18.484122,-7
6.45324,-3
NA,-1
66.698483,4
NA,7
5.408044,-2
NA,NA
NA,NA
1.315386,10
9.912114,-4
68.143186,7
4.747839,-9
NA,NA
NA,NA
28.431204,-1
46.923927,6
NA,-8
3.322529,10
25.947414,-9
NA,NA
26.664122,-3
83.161145,-7
NA,NA
NA,NA
20.648643,-2
11.462365,7
12.570686,1
